ICAO,Type,Runway,Combine,Sortorder,Regex,Iregex,Rwysortorder,Namesortorder,Active
"LOAN","SID","ALL","5","1",,,,,"1"
"LOAV","SID","ALL","5","1",,,,,"1"
"LOIJ","SID","ALL","5","1",,,,,"1"
"LOWG","SID","ALL","5 2",,,,,,"1"
"LOWI","SID","ALL","5 2","1",,,,"RTT.Q RTT.R H$ J$","1"
"LOWK","SID","ALL","5 2","1",,,,,"1"
"LOWL","SID","ALL","5 2","1",,,,,"1"
"LOWS","SID","ALL","5 2","1",,,,"A$ B$","1"
"LOWW","SID","ALL","5","1",,"(LOWW)|(VECTOR)|(VISUAL)",,"ADAM ARSI BUWU KOXE LANU LEDV LUGE MEDI STEI OSPE RUPE SOVI A$ B$ C$ D$","1"
"LOWZ","SID","ALL","5","1",,,,,"1"
"LOXZ","SID","ALL","5","1",,,,,"1"
"LOAN","STAR","ALL","*AR","1",,,,,"1"
"LOAV","STAR","ALL","*AR","1",,,,,"1"
"LOIJ","STAR","ALL","*AR","1",,,,,"1"
"LOWG","STAR","ALL","5A*I 5A*R","1",,"RNAV34",,,"1"
"LOWG","STAR","ALL","AI AR I R D","2",,"(GRZ)|(VAGIL)",,"PIBIP XIBAR WG ILS RNAV VOR","1"
"LOWI","STAR","ALL","5*AL 5*AR","1",,,,,"1"
"LOWI","STAR","ALL","L R","3",,,,,"1"
"LOWI","STAR","ALL","5","2",,,,,"1"
"LOWK","STAR","ALL","5AI 5AR","1",,,,,"1"
"LOWK","STAR","ALL","AR AI","2",,,,,"1"
"LOWK","STAR","ALL","I R D","3",,,,,"1"
"LOWL","STAR","ALL","5AI 5AR",,,,,"ILS RNAV","1"
"LOWL","STAR","ALL","I R D","3",,,,,"1"
"LOWL","STAR","ALL","AI AR","2",,"(LIDSI)|(LNZ)",,"ILS RNAV","1"
"LOWS","STAR","ALL","5AI 5AR","1",,,,,"1"
"LOWS","STAR","ALL","AI AR","2",,,,,"1"
"LOWS","STAR","ALL","I R D","3",,,,,"1"
"LOWW","STAR","ALL","5AI","1",,"U$",,"11.*BAL 11.*PES 16.*NER 16.*MAB","1"
"LOWW","STAR","ALL","AI AR","4",,,,"ILS RNAV","1"
"LOWW","STAR","ALL","I R D","5",,,,"ILS RNAV","1"
"LOWW","STAR","ALL","5AI","2","U$",,,"11.*BAL 11.*PES 16.*NER 16.*MAB","1"
"LOWW","STAR","ALL","5AR","3",,"U$",,"11.*BAL 11.*PES 16.*NER 16.*MAB","1"
"LOWZ","STAR","ALL","A*R","1",,,,,"1"
"LOXT","STAR","ALL","AR","1",,,,,"1"
"LOXZ","STAR","ALL","AR","1",,,,,"1"
"EDDM","STAR","ALL","A*I","1","(NAP)|(BET)",,,"(08R|26L)x(NAP|BET)","1"
"EDDM","STAR","ALL","5","2",,,,,"1"
"EDDM","STAR","ALL","A*I","1","(NAP)|(BET)",,,"(08R|26L)x(NAP|BET)","1"
"EDDM","STAR","ALL","5","2",,,,,"1"
"LOWW","SID","ALL","5","2","LOWW VISUAL VECTOR",,,,"1"
